timestamp,temperatura_interna_c,temperatura_externa_c,integridade_estrutural,energia_maxima_kwh,energia_disponivel_kwh,pressao_tanque_bar,status_modulos_criticos
2026-09-08 12:00:00,30.52,18.68,1,775.8,367.68,116.1,1
2026-09-08 12:15:00,18.45,1.96,1,1029.98,697.8,106.02,1
2026-09-08 12:30:00,28.02,23.33,1,901.3,784.54,129.91,1
2026-09-08 12:45:00,23.78,0.44,1,1091.44,566.39,210.85,1
2026-09-08 13:00:00,28.26,23.25,1,794.3,700.0,75.42,1
2026-09-08 13:15:00,24.15,1.73,1,913.91,705.96,133.65,1
2026-09-08 13:30:00,34.75,24.94,1,1073.3,593.95,117.67,1
2026-09-08 13:45:00,32.18,0.69,1,971.05,133.53,130.09,1
2026-09-08 14:00:00,22.16,11.18,1,953.99,905.2,210.57,1
2026-09-08 14:15:00,31.19,3.02,1,906.42,491.3,108.39,1
2026-09-08 14:30:00,21.59,28.0,1,1075.27,543.96,127.77,1
2026-09-08 14:45:00,24.73,27.01,1,991.77,483.24,107.33,1
2026-09-08 15:00:00,27.54,4.2,1,1016.92,943.67,114.97,1
2026-09-08 15:15:00,21.73,29.91,1,1001.91,363.81,97.36,1
2026-09-08 15:30:00,19.86,16.96,1,1058.42,620.17,98.18,1
2026-09-08 15:45:00,24.49,29.86,1,1005.82,985.41,138.04,1
2026-09-08 16:00:00,18.2,20.23,1,1036.34,695.39,108.34,1
2026-09-08 16:15:00,28.9,-1.1,1,986.95,611.69,142.69,1
2026-09-08 16:30:00,32.89,4.22,1,1000.12,425.08,140.63,1
2026-09-08 16:45:00,32.8,5.45,1,1027.79,743.2,102.64,1
2026-09-08 17:00:00,47.8,13.88,1,1055.73,700.8,95.03,0
2026-09-08 17:15:00,24.17,29.49,1,1061.35,482.31,107.04,1
2026-09-08 17:30:00,27.65,-2.24,1,1046.38,909.06,143.9,1
2026-09-08 17:45:00,27.06,-0.6,1,1031.95,1291.02,67.59,1
2026-09-08 18:00:00,30.12,8.96,1,750.71,574.22,139.98,0
2026-09-08 18:15:00,28.0,3.05,1,944.04,345.72,126.56,1
2026-09-08 18:30:00,21.89,26.69,1,1071.93,354.7,106.9,1
2026-09-08 18:45:00,29.37,2.5,1,926.46,886.06,123.55,1
2026-09-08 19:00:00,26.04,22.46,1,1061.5,445.0,99.85,1
2026-09-08 19:15:00,25.33,9.83,1,993.4,805.54,128.67,1
